origin,target,origin_x,origin_y,target_x,target_y,d_graph_m,d_L1_m,d_L1_25_m,d_L1_5_m,d_L1_54_m,d_L1_75_m,d_L2_m,d_L3_m,d_L5_m,d_L10_m,d_Linf_m,tortuosity_dG_dL2
1024112446,905155886,287453.9837049025,7476972.479957856,287054.07346036704,7473852.813223141,3988.136723168113,3519.5769792504725,3309.6742979404653,3214.4060100070933,3204.6850260397423,3168.339382389145,3145.1945471419936,3121.85573204308,3119.6883322318913,3119.666735088804,3119.6667347149923,1.2680095502493136
1037596122,1067977694,284937.7571363029,7474046.353094746,287341.98006253794,7478538.643391157,6292.67651778021,6896.51322264527,6073.172043040758,5599.23447181836,5542.141407217901,5298.449315751958,5095.189887163737,4711.012927015315,4531.063849523108,4493.155584168598,4492.29029641021,1.2350229642340298
993376139,998956917,287614.7058791593,7474513.162872199,287862.77589332534,7471735.970790919,4431.821649685769,3025.2620954461163,2885.1665108316784,2826.402063161213,2820.7179001306404,2800.281421277164,2788.2493769842363,2777.8516902883657,2777.195239749587,2777.192081289034,2777.1920812800527,1.589463871584979
998967619,913790129,289053.1034577406,7471587.05319215,286762.69014321675,7474177.791324332,5357.301452751854,4881.151446706383,4251.3006343426505,3877.839015224379,3831.862846084166,3631.8278316160927,3458.022154482639,3086.5294867973853,2824.4359188547837,2657.901841136136,2590.7381321825087,1.549238614855945
1013918976,914072257,285273.61409481976,7474431.761209689,287842.30355202634,7474815.019526195,3291.2273520780454,2951.9477737122797,2757.5425141455303,2666.4588543054624,2656.9612301561815,2620.868764213178,2597.1238832090808,2571.5303188223597,2568.7274436537004,2568.689458611047,2568.6894572065794,1.2672585136798753
1643105365,7071369635,287458.61661764886,7477261.199387965,287646.8023737877,7472110.047916727,7310.9973211212555,5339.337227376469,5216.865416645264,5175.1029619143865,5171.590008551348,5160.131479571569,5154.587797142209,5151.23519009475,5151.151538279574,5151.151471237657,5151.151471237652,1.4183476174709055
2449846950,5430425048,287497.3730066526,7476149.437938765,286516.79803252814,7474210.904955837,2685.1634329539775,2919.1079570521833,2575.8007070889366,2379.2921858691348,2355.7161929426034,2255.441616149312,2172.426616891325,2018.7963218710215,1951.205508224141,1938.7454712514534,1938.532982927747,1.2360203157501186
1039424984,5419178460,289074.5193204085,7470869.721705731,285631.4879330946,7476897.020362207,8077.525911171611,9470.33004378964,8321.690972635737,7656.55099627239,7576.076251313547,7231.281919778938,6941.382731731689,6380.678909867179,6098.900759861136,6029.524955190352,6027.29865647573,1.1636767807437245
914105217,905155820,286455.6456760471,7475445.822129698,286561.2000636241,7474065.645635443,1516.422066664896,1485.7308818317833,1424.40773304157,1399.569116083212,1397.2225916514094,1388.9276140443144,1384.206951301013,1380.3822602555879,1380.177216479679,1380.176494255676,1380.1764942547306,1.095516869959087
1102452333,8982960043,287415.2306855865,7475243.430012038,286317.7222903336,7478599.948780314,4199.687277082789,4454.027163529012,4005.4730963279135,3762.8441327934343,3734.8909432099294,3619.993385446404,3531.393906015056,3395.1849061533294,3359.0240963814135,3356.523457209451,3356.518768276088,1.1892435080463333
1040638034,914760077,287951.00669761235,7470308.239851949,287597.65173845773,7476565.940960474,7623.91641126494,6611.056067680125,6395.126245938832,6313.554757244568,6306.202444103356,6281.057898872875,6267.66965393044,6258.076648889862,6257.701827025203,6257.701108525716,6257.701108525507,1.2163877217881132
8985635398,998592455,285179.63124133705,7474729.999538904,289041.43281429366,7472887.154616449,5708.038955104432,5704.646495411638,5044.897170238204,4669.611134549667,4624.7897416862315,4434.895378759826,4278.970530058419,3996.9031393973955,3880.727508607752,3862.037979050758,3861.8015729566105,1.3339748229176287
8204886540,1620436967,287691.5994359723,7471333.2912249295,285775.8336374718,7471705.034163883,3276.3255758999644,2287.508737453958,2110.7282461596687,2023.4364186290215,2013.999954075313,1977.1359943714363,1951.4997841060685,1920.420237977276,1915.8711950001655,1915.7658129997565,1915.7657985005062,1.678875705026411
8273361862,1037953354,288109.50959755946,7470970.229737265,286845.5492139219,7475983.715638471,6446.895561696685,6277.446284843376,5718.029081274322,5428.123569016891,5395.715104541136,5265.721544433055,5170.361373540015,5040.123440005452,5014.506749603702,5013.486421293088,5013.4859012058005,1.2468945777541773
8269478253,8272844874,285471.1694924595,7475063.241970949,287250.53839567606,7475109.801461106,2602.082976928234,1825.928393373848,1794.3339605091996,1784.3863429397736,1783.5935468692205,1781.0991916531268,1779.9779436436281,1779.3795291919737,1779.368907581787,1779.3689032165573,1779.3689032165566,1.4618624833079397
5419178464,5158121463,285978.6249412555,7477715.731621096,285975.1985007953,7471971.324499689,8206.106762920424,5747.833561867068,5744.835500850889,5744.462910572338,5744.447499383522,5744.414594551927,5744.4081433133015,5744.407121813232,5744.407121406871,5744.407121406871,5744.407121406868,1.4285382511464875
1713435249,905991585,287956.5111483667,7470977.424054666,286602.0769396118,7475439.443494068,5777.49158578015,5816.453648156952,5249.629133010034,4946.577912615992,4911.94990384799,4770.574835340935,4663.057956260807,4503.237159974059,4464.316891716526,4462.022402832368,4462.019439402036,1.2389920176786693
8984865122,830589918,286873.3744068055,7474670.1390319895,287554.6677946447,7474705.802984671,967.8098618665913,716.9573405204574,694.90674562222,686.7224232921609,685.9934637948946,683.5209553848281,682.2262072320977,681.3259623616563,681.2934413992263,681.2933878392322,681.2933878392214,1.4186055176524992
1037248225,2207530129,285114.161145624,7474782.020113144,285254.20222103305,7479919.984111799,7026.393683813262,5278.005074063898,5183.434778886696,5153.365788290765,5150.953403448068,5143.329936466864,5139.872134039439,5137.998677131517,5137.964014112491,5137.96399865486,5137.963998654857,1.3670366695078078
893759833,1037250748,288109.3515937408,7475022.150587255,286230.78963670647,7473782.497945253,2551.57369182097,3118.21459903667,2728.8659040580787,2500.9053425629318,2473.1011924404816,2353.1264362960624,2250.7184851153747,2043.5815877803352,1923.385371101533,1881.482944132603,1878.5619570343406,1.1336707405636175
5419178996,5156177952,288115.07111163053,7475578.979724135,287876.3875313153,7472256.182478373,4531.177533208494,3561.480826077517,3421.2885274471564,3365.3087733608572,3360.0709701091373,3341.681479583546,3331.358790037135,3323.2077191867415,3322.798516708068,3322.797245763528,3322.797245762311,1.360158967794035
